===========================
Normal rounds testing
===========================
Testing Alzette_b7e15162_k16_nr4, using 2^42 data, seeds 0000000000000123 0000000000000456
Trail (state words):
  80008000 c000c000 
  e682e682 c100c100 
  e081e081 c201c201 
  04030403 07000700 
  e280e280 03030303 
Found match #286 04ee4ad0:62b80ae2 (... follows trail? 1)
Found match #287 883ca008:ea442e3c (... follows trail? 1)
Found match #288 f64c0db4:fa940fa5 (... follows trail? 1)
Found match #289 c38229de:045ca227 (... follows trail? 1)
Found match #290 fe0e4ade:fedfce21 (... follows trail? 1)
Found match #291 b08c436c:0cf30c22 (... follows trail? 1)
Found match #292 9bb6e9b0:705582ce (... follows trail? 1)
Found match #293 a254767e:d6aa2e17 (... follows trail? 1)
Found match #294 a6425f6a:c1aeb0ab (... follows trail? 1)
Found match #295 b93ca268:5c7296f8 (... follows trail? 1)
Found match #296 b4d46334:d87a801f (... follows trail? 1)
Found match #297 b70062f6:0495821b (... follows trail? 1)
Found match #298 3a0676a2:60240423 (... follows trail? 1)
Found match #299 de120c6c:4ea8362d (... follows trail? 1)
Found match #300 a448a532:d03a9a7c (... follows trail? 1)
Found match #301 9d8c9358:2e5a9688 (... follows trail? 1)
Found match #302 99aa1382:c54085b4 (... follows trail? 1)
Alzette_b7e15162_k16_nr4: 302/4398046511104 = 2^-33.76 experimental differential probability
Alzette_b7e15162_k16_nr4: 293/302/4398046511104 = 2^-33.81 experimental trail probability

